account_number,bad_flag
100001,0.72639
100002,0.10908
100003,0.30527
100004,0.34383
100005,0.81506
100006,0.87781
100007,0.07381
100008,0.65161
100009,0.79284
100010,0.71968
100011,0.62531
100012,0.7523
100013,0.43598
100014,0.0406
100015,0.64446
100016,0.07181
100017,0.81347
100018,0.71871
100019,0.73795
100020,0.43073
100021,0.66146
100022,0.62731
100023,0.62076
100024,0.41387
100025,0.62153
100026,0.63958
100027,0.34015
100028,0.42254
100029,0.15291
100030,0.57647
100031,0.65606
100032,0.57124
100033,0.60472
100034,0.52276
100035,0.05799
100036,0.60875
100037,0.80886
100038,0.72414
100039,0.37463
100040,0.29213
100041,0.87766
100042,0.48281
100043,0.68619
100044,0.66312
100045,0.57862
100046,0.34293
100047,0.52101
100048,0.05199
100049,0.02912
100050,0.64873
100051,0.34985
100052,0.65592
100053,0.40082
100054,0.06842
100055,0.74632
100056,0.67837
100057,0.70737
100058,0.18297
100059,0.84602
100060,0.43065
100061,0.47852
100062,0.67935
100063,0.45787
100064,0.73086
100065,0.02448
100066,0.62984
100067,0.08397
100068,0.39975
100069,0.86985
100070,0.52185
100071,0.33843
100072,0.55292
100073,0.54756
100074,0.66914
100075,0.00141
100076,0.67686
100077,0.02247
100078,0.47578
100079,0.23987
100080,0.49462
100081,0.55192
100082,0.51378
100083,0.67942
100084,0.4419
100085,0.69651
100086,0.15199
100087,0.66801
100088,0.27356
100089,0.88478
100090,0.72797
100091,0.69539
100092,0.85688
100093,0.69113
100094,0.47053
100095,0.78938
100096,0.43356
100097,0.81352
100098,0.70308
100099,0.86155
100100,0.70737
100101,0.54607
100102,0.47318
100103,0.23418
100104,0.16797
100105,0.59476
100106,0.55637
100107,0.78956
100108,0.12017
100109,0.53194
100110,0.41458
100111,0.68111
100112,0.15362
100113,0.22887
100114,0.74209
100115,0.86894
100116,0.82439
100117,0.25138
100118,0.50643
100119,0.83066
100120,0.54649
100121,0.79437
100122,0.33798
100123,0.69259
100124,0.07962
100125,0.68896
100126,0.07395
100127,0.29539
100128,0.73032
100129,0.22406
100130,0.60194
100131,0.47872
100132,0.3477
100133,0.55835
100134,0.26728
100135,0.27809
100136,0.70275
100137,0.74677
100138,0.62305
100139,0.14351
100140,0.57543
100141,0.44069
100142,0.88961
100143,0.3765
100144,0.82926
100145,0.66693
100146,0.35567
100147,0.75847
100148,0.09997
100149,0.64384
100150,0.88568
100151,0.69427
100152,0.45312
100153,0.61404
100154,0.70472
100155,0.67042
100156,0.00804
100157,0.76028
100158,0.78473
100159,0.78485
100160,0.57753
100161,0.3865
100162,0.78107
100163,0.76593
100164,0.72374
100165,0.62218
100166,0.54119
100167,0.71244
100168,0.02402
100169,0.6097
100170,0.7833
100171,0.71753
100172,0.3769
100173,0.84516
100174,0.9062
100175,0.63114
100176,0.14683
100177,0.4593
100178,0.632
100179,0.49945
100180,0.25995
100181,0.42453
100182,0.49869
100183,0.0019
100184,0.76721
100185,0.60425
100186,0.01446
100187,0.81576
100188,0.89729
100189,0.65235
100190,0.69815
100191,0.23759
100192,0.5462
100193,0.63822
100194,0.07689
100195,0.87478
100196,0.52102
100197,0.01452
100198,0.67159
100199,0.34345
100200,0.64953
100201,0.70073
100202,0.81149
100203,0.92303
100204,0.53879
100205,0.719
100206,0.58547
100207,0.29475
100208,0.2585
100209,0.43904
100210,0.79198
100211,0.773
100212,0.5522
100213,0.64494
100214,0.65187
100215,0.22917
100216,0.79946
100217,0.64105
100218,0.61921
100219,0.54675
100220,0.818
100221,0.66436
100222,0.05022
100223,0.81678
100224,0.40254
100225,0.43233
100226,0.18018
100227,0.61388
100228,0.72937
100229,0.90656
100230,0.59886
100231,0.59076
100232,0.63862
100233,0.29248
100234,0.05609
100235,0.49138
100236,0.44978
100237,0.83631
100238,0.80049
100239,0.31804
100240,0.47009
100241,0.69171
100242,0.18597
100243,0.59188
100244,0.23187
100245,0.00641
100246,0.68157
100247,0.79592
100248,0.60995
100249,0.57753
100250,0.68112
100251,0.65969
100252,0.67838
100253,0.53695
100254,0.26433
100255,0.71909
100256,0.51442
100257,0.0863
100258,0.39139
100259,0.42937
100260,0.57206
100261,0.56819
100262,0.7903
100263,0.11805
100264,0.42444
100265,0.72172
100266,0.81187
100267,0.59371
100268,0.70976
100269,0.11773
100270,0.66071
100271,0.60603
100272,0.32998
100273,0.64529
100274,0.09792
100275,0.79745
100276,0.90674
100277,0.82433
100278,0.63928
100279,0.78435
100280,0.71302
100281,0.60644
100282,0.70464
100283,0.66737
100284,0.88297
100285,0.73963
100286,0.24428
100287,0.60884
100288,0.60457
100289,0.84989
100290,0.47402
100291,0.57503
100292,0.0197
100293,0.58063
100294,0.19444
100295,0.18742
100296,0.74865
100297,0.49107
100298,0.78837
100299,0.57752
100300,0.52714
100301,0.13881
100302,0.70259
100303,0.44397
100304,0.68355
100305,0.8145
100306,0.40976
100307,0.37992
100308,0.69582
100309,0.0522
100310,0.66499
